Category,QuestionNumber,ExamRecord,Question,A,B,C,D,E,Answer,Explanation
WHO三階梯與癌症疼痛,5,103年第31題,"A 27-year-old woman with a history of malignant melanoma and multiple subcutaneous metastases has been successfully managed with slowly increasing doses of MS-Contin (Morphine SR), in conjunction with doxepin and ibuprofen. She calls the pain center to complain of a new onset of increasing nausea, vomiting, and headaches, as well as poor pain control. The most appropriate immediate action would be to:",speak with the patient by telephone and tell her to increase the MS-Contin,"see the patient as soon as possible to determine if there is a new, treatable source of pain",schedule the patient for an evaluation in your office within the week,switch to a fentanyl patch since the patient is nauseated and may be unable to take oral analgesics,add ondansetron for nausea and vomiting so she is able to continue to take oral analgesics,B,正確，需要立即評估是否有新的疼痛來源或病情變化，以便及時調整治療計劃。
WHO三階梯與癌症疼痛,6,104年第2題,Which of the following statement concerning the treatment of cancer pain is least likely?,"Obeying the principles of the analgesic ladder approach, 71% of patients will achieve good in relief without further intervention.",Oral morphine remains the drug of choice according to the analgesic ladder of the WHO.,The most common use of radiotherapy is for metastases abdominal pain.,The patient with advanced cancer is in the dynamic state with changing pathology.,About 60% of patients who receive radiotherapy will achieve at least 50% pain relief.,C,錯誤，放射治療最常用於骨轉移疼痛，不是腹部轉移疼痛，這是對放療用途的誤解。
WHO三階梯與癌症疼痛,7,105年第9題,有關癌症患者的疼痛治療，下列何者正確？,約有 6~7 成疼痛是來自腫瘤直接侵犯造成,cancer therapy 造成的疼痛很少見,NSAID 是屬於第二線用藥,physical modality 中熱療及電療為絕對禁忌,為避免 tumor spreading，手術止痛不予採行,A,正確，大部分癌症疼痛來自腫瘤直接侵犯，這是癌症疼痛的主要機制之一。
WHO三階梯與癌症疼痛,8,"105年第26題, 106年第1次第44題",下列關於癌症病人的 breakthrough pain，下列敘述何者較不正確：,包括了 incident pain 及 spontaneous pain,一般不把'end-of-dose failure of analgesic' 歸類在 breakthrough pain,"疼痛的特性包括了 somatic pain, visceral pain, neuropathic pain 或 mixed type",fentanyl buccal film 可以用來控制中重度的 breakthrough pain,breakthrough pain 的發生機率並不大，一般只出現在癌症末期或瀕死病人,E,Breakthrough pain的發生率其實相當高，並不僅限於癌症末期或瀕死病人。這種疼痛可以在癌症的不同階段出現，通常是因為基礎止痛藥物無法完全控制疼痛而需要額外的短效止痛藥來緩解。
WHO三階梯與癌症疼痛,9,"106年第1次第12題, 107年第1次第6題, 107年第3次第6題","根據 2014 年 ""National Institute for Health and Clinical Excellence"" 對癌症末期瀕死病人的最好的支持性治療 (""Best Practice in the Last Hours and Days of Life"")，下列哪一項敘述不正確：",Decisions are made to discontinue inappropriate interventions.,Discontinue or reduce subcutaneous opioid analgesics to avoid conscious depression or disturbance.,"""As-required"" subcutaneous medication is prescribed according to an agreed protocol to manage pain, agitation, nausea and vomiting, and respiratory tract secretions",Family and carers are given appropriate written information.,"A plan of care is explained and discussed with the patient, family, and carers.",B,錯誤，類鴉片止痛藥應根據病人需求持續使用，而不是因為潛在的意識抑制而減少。
WHO三階梯與癌症疼痛,10,"106年第1次第13題, 107年第1次第7題, 107年第3次第7題",下列關於 WHO Analgesic Ladder 的三階梯(3 steps)用藥，哪一項較不正確：,Paracetamol (Acetaminophen)是 step I 用藥，也可以是 step II 用藥,"Tramadol 是 weak opioid,屬於 step II 用藥","Hydromorphone, oxycodone 是 strong opioids, 屬於 step III 用藥","Ketamine 作用於 opioid-resistant pain, 可歸類於 step III 用藥","Buprenorphine 是 partial opioid agonist, 歸類於 step II 用藥",E,Buprenorphine雖然是部分鴉片受體促進劑，但因其效力強且具有天花板效應，通常被歸類於第三階梯的強效類鴉片藥物。這是因為它在高劑量時仍能提供穩定的止痛效果。
WHO三階梯與癌症疼痛,11,"106年第1次第37題, 107年第1次第21題, 110年第12題, 112年第36題, 114年第12題",Which of the following combination of lesion site with referral site describing pain referral is not common in cancer patients suffering from cancer pain?,(Diaphragmatic irritation) and (Shoulder),(Urothelial tract) and (Inguinal region and genitalia),(C7–T1 vertebrae) and (Interscapular),(L1–2) and (Sacroiliac joint and hip),all of the above are common found in patients with cancer pain,E,此選項正確。前述A、B、C、D四個選項描述的疼痛轉移模式都是癌症病人臨床上常見的表現。這些轉移性疼痛模式反映了人體感覺神經系統的解剖學組織，特別是內臟感覺神經與軀體感覺神經在脊髓背角的會聚現象。了解這些典型的疼痛轉移模式對癌症疼痛的診斷和治療具有重要意義，有助於臨床醫師識別腫瘤的可能位置，制定適當的檢查計劃和治療策略。因此，題目要求找出'不常見'的組合，但所有選項都是常見的，答案是E。
WHO三階梯與癌症疼痛,12,"106年第1次第38題, 107年第1次第22題, 107年第3次第22題",Which of the following suggestion is not advisable for the use of opioids in children with cancer pain?,Use the oral route first in most circumstances,Treat constipation pre-emptively.,"If side effects are bothersome with one opioid, consider switching to another one.",Use sufficient doses to keep the patient comfortable should be avoided due to the possible occurrence of adverse effects,Use the oral route first in most circumstances.,D,錯誤，應使用足夠劑量來確保病人舒適，而不是因為潛在的副作用而避免。
WHO三階梯與癌症疼痛,13,106年第1次第39題,Which of the following oral opioids is not recommended for pediatric patients with cancer pain?,morphine,hydromorphone,oxycodone,meperidine (pethidine),all of the above can be prescribed for pediatric patients with cancer pain,D,錯誤，Meperidine因其神經毒性不建議用於兒童。
WHO三階梯與癌症疼痛,14,"106年第1次第40題, 107年第1次第24題, 109年第1次第10題, 109年第2次第10題","Adjuvant analgesics are often prescribed for managing cancer pain, but which of the following drug – indication is not considered?",NSAIDs for Soft tissue pain,Anticonvulsants for Neuropathic pain,Steroids for Soft tissue pain,Baclofen for Muscle spasm,Benzodiazepines for Muscle spasm,C,錯誤，類固醇不是軟組織疼痛的主要適應症，因為它們主要用於減少腫脹和神經壓迫，而非直接處理由軟組織損傷引起的疼痛。
WHO三階梯與癌症疼痛,15,"108年第1次第2題, 108年第2次第2題, 113年第21題",骨癌或骨轉移引起之疼痛治療論述，以下一者為非，請指出。,該類疼痛常引起骨骼相關事件(Skeletal-related events)，如骨折等。,該類疼痛作用機轉常合併傷害感受性及神經病變性之疼痛。,使用之藥物治療常以抗痙攣藥物為主，鴉片類藥物一般沒效。,雙磷酸盬及抗 RANK-L 抗體之藥物，可減緩骨轉移而避免疼痛。,其中因有發炎因素，非類固醇之消炎藥物也有一定的止痛效果。,C,錯誤，類鴉片藥物對骨癌疼痛是有效的，因為它們能夠直接作用於中樞神經系統，減少疼痛的感知。
WHO三階梯與癌症疼痛,16,"109年第1次第19題, 109年第2次第19題",Which of the following patterns of pain is not attributed to a typical breakthrough pain syndrome?,pain is exacerbated by volitional actions of the patient,pain is exacerbated by non-volitional events,exacerbations of pain associated with failure of anlagesia,Neuropathic non–movement-related pain,Visceral pain—volitional or non-volitional,A,主動行為引起的疼痛是incident pain，屬於breakthrough pain，因為它是由特定動作引發的短暫性疼痛加劇。
WHO三階梯與癌症疼痛,17,"109年第1次第21題, 109年第2次第21題",Which of the following adjuvant analgesic is not suggested for its following indication in the management of cancer pain?,Non steroidal anti-inflammatory/analgesic drugs (NSAIDs) for Musculoskeletal pain,Antidepressants for Neuropathic pain,benzodiazepines for Muscular spasm,Phenothiazines or Butyrophenones for Hallucinations,all of the above adjuvant analgesic are suggested for its following indication in the management of cancer pain.,E,正確，所有藥物-適應症配對都是合適的，因為它們在各自的適應症中都有明確的臨床效果。
WHO三階梯與癌症疼痛,18,"109年第1次第22題, 109年第2次第22題",Which of the following practice in the management of cancer pain and associated events for the dying patients in the last hours and days of life is not advisable?,Non-essential drugs should be discontinued,"If the insight of the patient, family, and carers into the patient's condition is identified, high dose of opioids should be discontinued to avoid respiratory depression","""As-required"" subcutaneous medication is prescribed according to an agreed protocol to manage pain",Decisions are made to discontinue inappropriate interventions.,all of the above are acceptable practices.,B,錯誤，不應因害怕呼吸抑制而停止類鴉片，因為疼痛控制在生命末期是優先考量，應根據患者的需求調整劑量。
WHO三階梯與癌症疼痛,19,110年第29題,關於癌症相關的骨頭疼痛，下列敘述何者不適當？,癌症骨轉移最常見的位置是脊椎骨，一旦發現有骨轉移後，對於病患的產生癌症相關併發症和存活時間會有明顯的改變,在動物癌症骨轉移模型，無論是 osteolytic 或是 osteoblastic model，都可以看到骨頭有 destructive injury。,過去研究發現 periosteum(骨膜)有豐富的交感與感覺神經纖維，另外 bone marrow 和 mineralized bone 也是有交感與感覺神經纖維分布，所以 bone pain 也就是 neuropathic pain。,Cyclooxygenase (COX)-2-specific inhibitors 對於 bone pain 病患的使用上是比 nonselective NSAIDs 安全，此外抑制 COX-2 也可以抑制 tumor burden，osteoclastogenesis，以及 bone destruction。,Intravenous zoledronic acid 已被證實對於 solid tumor 病患，可以降低骨骼相關併發症。,C,錯誤，骨痛是混合型疼痛，不只是神經病變疼痛，因為它涉及多種疼痛機制，包括組織損傷和神經壓迫。
WHO三階梯與癌症疼痛,20,110年第33題,關於頭頸癌症病人的的敘述，下列何者不恰當？,頭頸癌病人的疼痛問題，可能是腫瘤本身、化學治療、放射治療、或是手術造成的,粘膜炎(mucositis)的疼痛機制可能是黏膜產生潰瘍，暴露出神經末梢，使得黏膜表面變得對疼痛敏感,"可以用來處置粘膜炎(mucositis)產生的疼痛，包括 topical benzydamine、乳狀鎂(milk of magnesia)、口服 acetaminophen, NSAIDs，甚至是嗎啡類藥物",住院的癌症病患如果有嚴重的粘膜炎(mucositis)，可以考慮使用 Intravenous Patient-controlled analgesia (IVPCA) with morphine,粘膜炎(mucositis)在頭頸癌病人很常發生，常會造成疼痛問題，是無法預防的,E,粘膜炎（mucositis）在頭頸癌患者中是可以預防和減輕的副作用。透過良好的口腔衛生維護、使用特定的漱口水、低能量雷射治療、以及適當的營養支持等預防措施，可以顯著降低粘膜炎的發生率和嚴重程度。選項E錯誤地表示粘膜炎無法預防，這與現代癌症支持性照護的實證醫學不符。
